id,name,energy[kcal],protein[g],fat[g],carbs[g]
0,ごはん,252,3.8,0.5,55.7
1,麦ごはん,248,4.3,0.7,54
2,きのこたっぷり混ぜご飯,307,6.6,2.4,61.4
3,五目炊き込みご飯,311,11.4,2.7,57.9
4,赤飯,289,6.1,1.1,63.8
5,いなり寿司,311,7.4,8.3,48.8
6,巻き寿司,402,10.2,4.3,78.2
7,ちらし寿司,457,13.7,4.7,86.3
8,親子丼,665,28.5,8.9,110.7
9,カツ丼,868,30.5,31.1,107.3
10,牛丼,873,15.7,35.8,112.8
11,天丼,731,38.6,14.1,104.9
12,中華丼,743,31.1,20.3,101.8
13,カレーライス,882,20.1,31.1,124.2
14,オムライス,596,20.2,16.4,86.8
15,炒飯,537,14.7,15.4,80.9
16,きな粉もち,158,4.6,2,29.8
17,磯辺焼き,122,2.7,0.4,25.9
18,卵野菜サンドイッチ,260,7.2,16.7,20
19,卵サンドイッチ,304,9.8,20.7,18.7
20,チーズ野菜サンドイッチ,260,11.8,14.5,20.3
21,ツナサンドイッチ,338,10.9,24.2,18.9
22,トースト,158,5.6,2.6,28
23,バタートースト,203,5.6,7.5,28
24,いちごジャムトースト,212,5.7,2.7,41.3
25,ピザトースト,299,15.3,12,32
26,フレンチトースト,305,11,12.7,35.9
27,チーズトースト,243,11.3,9.1,28.4
28,クリームパン,183,6.2,6.5,24.8
29,あんぱん,280,7.9,5.3,50.2
30,ジャムパン,297,6.6,5.8,54.5
31,チョココロネ,246,4,9.5,36.1
32,かけうどん,325,8.9,0.9,64.1
33,わかめうどん,327,9.2,1,64.7
34,きつねうどん,446,14.6,10.9,66.1
35,肉うどん,499,17.4,9.9,74.9
36,やまかけうどん,379,11.1,1.2,75.4
37,月見うどん,401,15,6.1,64.2
38,えび天うどん,451,20.5,8.1,66.6
39,ごぼう天うどん,430,10.2,8.2,72.5
40,かけそば,348,12.5,2,66.4
41,ざるそば,304,11.8,2,60.1
42,わかめそば,350,12.8,2.1,67
43,肉そば,522,21,11,77.3
44,えび天そば,473,24.1,9.2,68.9
45,ソース焼きそば,478,15.8,13.5,70.1
46,冷やし中華,483,19.4,10.7,73.1
47,ミートソーススパゲティ,632,25.9,20.7,79.9
48,カルボナーラスパゲティ,760,19.3,45.9,61.9
49,マカロニグラタン,516,19.9,25.1,50.2
50,豚肉のしょうが焼き,280,17.9,21.3,1.2
51,鶏もも肉の照り焼き,225,13.7,15.2,4.8
52,鶏むね肉の味噌ダレ焼き,154,14.4,8.5,2.9
53,鶏の甘酢あんかけ,210,10.7,12.5,12.5
