,name,dish_amount[g],energy[kcal],protein[g],carbs[g],fat[g],vitamins[mg],minerals[mg]
0,ビーフカレー,250,297.5,6.0,20.2,22.5,9.4,2085.6
1,ぎょうざ,120,250.8,8.3,26.8,13.6,14.0,877.8
2,えびグラタン,200,256.0,11.0,24.2,13.8,12.1,1490.3
3,コーンクリームスープ,180,765.0,14.6,121.3,24.7,19.7,6446.2
4,クリームコロッケ,100,159.0,4.7,20.9,6.3,4.2,536.5
5,ポテトコロッケ,90,141.3,4.1,22.8,4.4,9.7,605.4
6,いかフライ,100,146.0,10.6,21.4,2.0,5.7,606.4
7,えびフライ,80,111.2,8.2,16.2,1.5,3.4,454.8
8,白身フライ,100,148.0,11.6,19.3,2.7,5.5,727.5
9,ビーフシチュー,250,382.5,10.2,17.8,31.5,25.4,1491.0
10,しゅうまい,100,191.0,9.1,19.5,9.2,7.6,928.2
11,えびピラフ,250,365.0,8.2,74.5,5.8,13.4,1723.0
12,ミートボール,120,238.8,12.2,16.1,15.0,17.5,1003.1
13,メンチカツ,120,235.2,11.9,27.6,8.6,7.2,921.1
14,ポテトコロッケ,90,203.4,4.8,22.7,11.3,20.4,563.0
15,いかフライ,100,227.0,13.3,19.7,11.3,13.9,529.6
16,えびフライ,80,188.8,12.7,16.4,9.3,12.9,678.0
17,白身フライ,100,299.0,9.7,16.2,21.8,5.2,727.5
18,メンチカツ,120,327.6,12.8,22.4,22.4,18.4,888.2
19,松前漬け,80,132.8,13.6,19.8,1.1,6.7,2065.8
20,青菜の白和え,100,81.0,4.2,10.5,3.4,7.8,888.3
21,いんげんのごま和え,80,61.6,3.0,7.3,2.7,7.8,803.7
22,わかめとねぎの酢みそ和え,80,68.0,3.0,13.0,0.7,6.0,790.0
23,紅白なます,100,34.0,0.6,7.2,0.6,6.9,407.4
24,とん汁,200,52.0,3.0,4.0,3.0,5.0,634.9
25,卯の花いり,120,100.8,5.3,12.8,4.9,7.5,936.6
26,親子丼の具,200,202.0,16.8,11.2,10.4,13.4,1245.0
27,牛飯の具,200,244.0,8.2,12.8,18.8,11.3,1169.3
28,切り干し大根の煮物,120,57.6,2.8,6.8,3.0,3.9,660.0
29,きんぴらごぼう,100,84.0,1.4,11.3,4.5,5.1,599.2
30,ぜんまいのいため煮,100,80.0,3.4,8.7,4.2,4.1,604.5
31,筑前煮,200,170.0,8.8,20.4,7.0,17.0,1366.5
32,肉じゃが,220,171.6,9.5,28.6,2.9,27.1,1678.4
33,ひじきのいため煮,100,75.0,3.1,9.9,4.0,4.4,929.2
34,アジの南蛮漬け,150,163.5,12.2,9.3,9.2,19.4,970.6
35,もやしのナムル,100,70.0,3.1,5.7,4.5,14.8,854.2
36,チキンカレー,250,327.5,14.0,21.0,22.0,22.4,2006.0
37,ポークカレー,250,290.0,7.0,19.2,21.5,14.0,1759.8
38,かぼちゃのクリームスープ,180,131.4,2.7,18.2,7.0,22.8,972.9
39,カニクリームコロッケ,100,255.0,5.1,22.0,17.1,14.3,510.0
40,コーンクリームコロッケ,100,245.0,5.1,23.4,16.0,15.3,622.1
41,チキンシチュー,250,310.0,15.5,19.5,20.0,34.1,1422.8
42,中華ちまき,180,313.2,10.6,49.9,9.9,10.9,1050.1
43,酢豚,200,154.0,9.2,15.2,6.6,20.3,824.0
44,八宝菜,220,140.8,12.8,8.4,7.0,24.8,1294.1
45,麻婆豆腐,220,228.8,17.2,8.4,15.0,19.4,1596.4
46,合いびきハンバーグ,150,295.5,20.1,15.0,18.3,20.1,1178.9
47,チキンハンバーグ,150,256.5,18.9,12.8,15.3,24.5,1285.0
48,豆腐ハンバーグ,150,213.0,14.8,12.6,13.8,21.3,1024.0
49,お好み焼き,300,408.0,15.6,45.6,19.5,50.8,1863.4
50,とりから揚げ,150,306.0,23.4,24.2,15.2,27.9,1747.7
51,かきフライ,100,289.0,8.9,25.5,18.0,18.3,685.1
52,春巻き,120,265.2,7.2,36.2,23.2,13.2,933.0
53,チャーハン,250,515.0,12.5,83.2,13.0,12.5,1636.0
